MM.Entrez,row,EffectSize,condition
11539,11539,0.07543255147495143,Fluad_4_PBMC
11539,11539,-0.09933630401255433,Fluad_8_PBMC
11539,11539,0.2878238278017251,Fluad_24_PBMC
11539,11539,-0.04801414082728073,Fluad_48_PBMC
11539,11539,0.0035585802734703353,Fluad_72_PBMC
11539,11539,-0.0693710952174964,Fluad_168_PBMC
11540,11540,0.009969769031999753,Fluad_4_PBMC
11540,11540,-0.0173793555403301,Fluad_8_PBMC
11540,11540,-0.15510766203379278,Fluad_24_PBMC
11540,11540,-0.09674600355305518,Fluad_48_PBMC
11540,11540,0.003987984438569292,Fluad_72_PBMC
11540,11540,0.011596148419599217,Fluad_168_PBMC
11541,11541,0.18801115899211363,Fluad_4_PBMC
11541,11541,0.027124192192516272,Fluad_8_PBMC
11541,11541,-0.1200380937936294,Fluad_24_PBMC
11541,11541,0.061041357244892236,Fluad_48_PBMC
11541,11541,0.0996508585547704,Fluad_72_PBMC
